[01:13:13:45] Log File created @D:/Users/sxlga/Documents/Studium/Master/Semester 3/AVRO Simulation/Assets\logs\2026-02-11-13-13.log
[01:13:13:92] switching to sub-state: Scenes.Simulation.Scripts.MissionSubState
[01:13:13:92] loaded mission W-34_S-1 onto Screen
[01:13:22:61] loaded mission W-4_S-1 onto Screen
[01:13:26:58] loaded mission W-34_S-1 onto Screen
[01:13:27:19] loaded mission W-4_S-1 onto Screen
[01:13:27:70] loaded mission W-34_S-1 onto Screen
[01:13:28:29] loaded mission W-4_S-1 onto Screen
[01:13:28:81] loaded mission W-34_S-1 onto Screen
[01:13:29:28] loaded mission W-4_S-1 onto Screen
[01:13:43:94] loaded mission W-34_S-1 onto Screen
