timestamp,SubState,missionName,lastMissionState,missionEvent
11:18:40:7991,,W-44_S-2,,nextMission
11:18:59:1936,GoStraight,,,
11:19:00:4142,Stop,,,
11:19:00:9787,TurnRight,,,
11:19:01:5690,TurnLeft,,,
11:19:02:0802,GoStraight,,,
11:19:02:4816,TurnRight,,,
11:19:02:9168,TurnLeft,,,
11:19:07:6984,,W-29_S-1,success,nextMission
11:19:08:2640,,W-7_S-1,success,nextMission
11:19:08:4642,,W-5_S-1,success,nextMission
11:19:08:6435,,W-6_S-1,success,nextMission
11:19:10:9816,,W-56_S-1,success,nextMission
11:19:12:7291,,W-56_S-1,success,nextMission
11:19:12:9275,,W-44_S-2,success,nextMission
11:19:13:1029,,W-9_S-1,success,nextMission
11:19:13:2891,,W-17_S-1,success,nextMission
11:19:13:4712,,W-24_S-1,success,nextMission
11:19:13:6665,,W-46_S-2,success,nextMission
11:19:13:8399,,W-7_S-1,success,nextMission
11:19:14:0110,,W-46_S-2,success,nextMission
11:19:14:1730,,W-26_S-1,success,nextMission
11:19:14:3733,,W-11_S-1,success,nextMission
