timestamp,SubState,missionName,lastMissionState,missionEvent
13:53:55:5864,GoStraight,W-29_S-1,,nextMission
13:54:01:8456,Stop,,,
13:54:02:4067,GoStraight,,,
13:54:02:8525,Stop,,,
13:54:03:3156,GoStraight,,,
13:54:04:8527,,,success,
13:54:26:3526,Stop,,,
13:54:26:7509,PassToTheLeft,,,
13:54:27:5205,Stop,,,
13:54:27:8467,PassToTheLeft,,,
13:54:28:2066,Stop,,,
13:54:38:5433,,,failed,
13:54:40:8702,GoRight,,,
13:54:47:0502,,,success,
13:54:49:5483,,,success,
13:54:51:5171,,,success,
13:54:53:3723,,,success,
13:54:55:1326,,,success,
13:54:56:6460,,,success,
13:55:00:0604,,,success,
