timestamp,PointerPosition,SubState,missionName,lastMissionState,missionEvent
15:24:04:4547,"(0.00, 0.00)",,W-51_S-1,,nextMission
15:24:07:5762,"(0.00, 0.00)",,,,
15:24:07:7818,"(0.00, 0.00)",,,,
15:24:07:8767,"(0.00, 0.00)",,,,
15:24:07:8862,"(0.00, 0.00)",,,,
15:24:07:8978,"(0.00, 0.00)",,,,
15:24:07:9097,"(0.00, 0.00)",,,,
15:24:07:9188,"(0.00, 0.00)",,,,
15:24:07:9305,"(0.00, 0.00)",,,,
15:24:07:9423,"(0.00, 0.00)",,,,
15:24:07:9518,"(0.00, 0.00)",,,,
15:24:07:9610,"(0.00, 0.00)",,,,
15:24:07:9696,"(0.00, 0.00)",,,,
15:24:07:9784,"(0.00, 0.00)",,,,
15:24:07:9872,"(0.00, 0.00)",,,,
15:24:07:9957,"(0.00, 0.00)",,,,
15:24:08:0053,"(0.00, 0.00)",,,,
15:24:08:0175,"(0.00, 0.00)",,,,
15:24:08:0281,"(0.00, 0.00)",,,,
15:24:08:0408,"(0.00, 0.00)",,,,
15:24:08:0515,"(0.00, 0.00)",,,,
15:24:08:0632,"(0.00, 0.00)",,,,
15:24:08:0764,"(0.00, 0.00)",,,,
15:24:08:0866,"(0.00, 0.00)",,,,
15:24:08:0999,"(0.00, 0.00)",,,,
15:24:08:1132,"(0.00, 0.00)",,,,
15:24:08:1270,"(0.00, 0.00)",,,,
15:24:08:1374,"(0.00, 0.00)",,,,
15:24:08:1484,"(0.00, 0.00)",,,,
15:24:08:1598,"(0.00, 0.00)",,,,
15:24:08:1697,"(0.00, 0.00)",,,,
15:24:08:1818,"(0.00, 0.00)",,,,
15:24:08:1981,"(0.00, 0.00)",,,,
15:24:08:2159,"(0.00, 0.00)",,,,
15:24:08:2339,"(0.00, 0.00)",,,,
15:24:08:2516,"(0.00, 0.00)",,,,
15:24:08:2689,"(0.00, 0.00)",,,,
15:24:08:2867,"(0.00, 0.00)",,,,
15:24:08:3000,"(0.00, 0.00)",,,,
15:24:08:3144,"(0.00, 0.00)",,,,
15:24:08:3291,"(0.00, 0.00)",,,,
15:24:08:3453,"(0.00, 0.00)",,,,
15:24:08:3612,"(0.00, 0.00)",,,,
15:24:08:3787,"(0.00, 0.00)",,,,
15:24:08:3928,"(0.00, 0.00)",,,,
15:24:08:4059,"(0.00, 0.00)",,,,
15:24:08:4269,"(0.00, 0.00)",,,,
15:24:08:4472,"(0.00, 0.00)",,,,
15:24:08:4610,"(0.00, 0.00)",,,,
15:24:08:4762,"(0.00, 0.00)",,,,
15:24:08:4893,"(0.00, 0.00)",,,,
15:24:08:5038,"(0.00, 0.00)",,,,
15:24:08:5190,"(0.00, 0.00)",,,,
15:24:08:5313,"(0.00, 0.00)",,,,
15:24:08:5471,"(0.00, 0.00)",,,,
15:24:08:5611,"(0.00, 0.00)",,,,
15:24:08:5750,"(0.00, 0.00)",,,,
15:24:08:5871,"(0.00, 0.00)",,,,
15:24:08:6042,"(0.00, 0.00)",,,,
15:24:08:6199,"(0.00, 0.00)",,,,
15:24:08:6877,"(37.75, 551.50)",,,,
15:24:08:7022,"(37.75, 551.50)",,,,
15:24:08:7276,"(37.75, 551.50)",,,,
15:24:08:7398,"(37.75, 551.50)",,,,
15:24:08:7514,"(37.75, 551.50)",,,,
15:24:08:7611,"(37.75, 551.50)",,,,
15:24:08:7696,"(37.75, 551.50)",,,,
15:24:08:7783,"(37.75, 551.50)",,,,
15:24:08:7861,"(37.75, 551.50)",,,,
15:24:08:8026,"(37.75, 551.50)",,,,
15:24:08:8117,"(37.75, 551.50)",,,,
15:24:08:8198,"(37.75, 551.50)",,,,
15:24:08:8275,"(37.75, 551.50)",,,,
15:24:08:8359,"(37.75, 551.50)",,,,
15:24:08:8429,"(37.75, 551.50)",,,,
15:24:08:9655,"(37.75, 497.50)",,,,
15:24:09:0254,"(37.75, 497.50)",,,,
15:24:09:0390,"(37.75, 497.50)",,,,
15:24:09:0463,"(37.75, 497.50)",,,,
15:24:09:0607,"(37.75, 497.50)",,,,
15:24:09:0688,"(37.75, 497.50)",,,,
15:24:09:0801,"(37.75, 497.50)",,,,
15:24:09:0884,"(37.75, 497.50)",,,,
15:24:09:0982,"(37.75, 497.50)",,,,
15:24:09:1078,"(37.75, 497.50)",,,,
15:24:09:1175,"(37.75, 497.50)",,,,
15:24:09:1274,"(37.75, 497.50)",,,,
15:24:09:1354,"(37.75, 497.50)",,,,
15:24:09:1450,"(37.75, 497.50)",,,,
15:24:09:1540,"(37.75, 497.50)",,,,
15:24:09:1647,"(37.75, 497.50)",,,,
15:24:09:1750,"(37.75, 497.50)",,,,
15:24:09:1841,"(37.75, 497.50)",,,,
15:24:09:1927,"(37.75, 497.50)",,,,
15:24:09:2076,"(37.75, 497.50)",,,,
15:24:09:2203,"(37.75, 497.50)",,,,
