timestamp,PointerPosition,SubState,missionName,lastMissionState,missionEvent
14:43:18:4375,"(0.00, 0.00)",,W-46_S-1,,nextMission
14:43:27:7015,"(0.00, 0.00)",,,,
14:43:27:8433,"(0.00, 0.00)",,,,
14:43:27:8917,"(0.00, 0.00)",,,,
14:43:27:9162,"(0.00, 0.00)",,,,
14:43:27:9349,"(0.00, 0.00)",,,,
14:43:27:9526,"(0.00, 0.00)",,,,
14:43:27:9693,"(0.00, 0.00)",,,,
14:43:27:9833,"(0.00, 0.00)",,,,
14:43:27:9934,"(0.00, 0.00)",,,,
14:43:28:0045,"(0.00, 0.00)",,,,
14:43:28:0141,"(0.00, 0.00)",,,,
14:43:28:0204,"(0.00, 0.00)",,,,
14:43:28:0275,"(0.00, 0.00)",,,,
14:43:28:0351,"(0.00, 0.00)",,,,
14:43:28:0424,"(0.00, 0.00)",,,,
14:43:28:0491,"(0.00, 0.00)",,,,
14:43:28:0554,"(0.00, 0.00)",,,,
14:43:28:0634,"(0.00, 0.00)",,,,
14:43:28:0705,"(0.00, 0.00)",,,,
14:43:28:0773,"(0.00, 0.00)",,,,
14:43:28:0843,"(0.00, 0.00)",,,,
14:43:28:0920,"(0.00, 0.00)",,,,
14:43:28:0991,"(0.00, 0.00)",,,,
14:43:28:1052,"(0.00, 0.00)",,,,
14:43:28:1120,"(0.00, 0.00)",,,,
14:43:28:1203,"(0.00, 0.00)",,,,
14:43:28:1258,"(0.00, 0.00)",,,,
14:43:28:1339,"(0.00, 0.00)",,,,
14:43:28:1404,"(0.00, 0.00)",,,,
14:43:28:1491,"(0.00, 0.00)",,,,
14:43:28:1562,"(0.00, 0.00)",,,,
14:43:28:1643,"(0.00, 0.00)",,,,
14:43:28:1704,"(0.00, 0.00)",,,,
14:43:28:1766,"(0.00, 0.00)",,,,
14:43:28:1853,"(0.00, 0.00)",,,,
14:43:28:1920,"(0.00, 0.00)",,,,
14:43:28:2001,"(0.00, 0.00)",,,,
14:43:28:2073,"(0.00, 0.00)",,,,
14:43:28:2154,"(0.00, 0.00)",,,,
14:43:28:2210,"(0.00, 0.00)",,,,
14:43:28:2308,"(0.00, 0.00)",,,,
14:43:28:2389,"(0.00, 0.00)",,,,
14:43:28:2465,"(0.00, 0.00)",,,,
14:43:28:2534,"(0.00, 0.00)",,,,
14:43:28:2605,"(0.00, 0.00)",,,,
14:43:28:2691,"(0.00, 0.00)",,,,
14:43:28:2759,"(0.00, 0.00)",,,,
14:43:28:2854,"(0.00, 0.00)",,,,
14:43:28:2924,"(0.00, 0.00)",,,,
14:43:28:3021,"(0.00, 0.00)",,,,
14:43:28:3096,"(0.00, 0.00)",,,,
14:43:28:3187,"(0.00, 0.00)",,,,
14:43:28:3259,"(0.00, 0.00)",,,,
14:43:28:3365,"(0.00, 0.00)",,,,
14:43:28:3436,"(0.00, 0.00)",,,,
14:43:28:3525,"(0.00, 0.00)",,,,
14:43:28:3623,"(0.00, 0.00)",,,,
14:43:28:3700,"(0.00, 0.00)",,,,
14:43:28:3803,"(0.00, 0.00)",,,,
14:43:28:3869,"(0.00, 0.00)",,,,
14:43:28:3972,"(0.00, 0.00)",,,,
14:43:28:4038,"(0.00, 0.00)",,,,
14:43:28:4148,"(0.00, 0.00)",,,,
14:43:28:4224,"(0.00, 0.00)",,,,
14:43:28:4312,"(0.00, 0.00)",,,,
14:43:28:4383,"(0.00, 0.00)",,,,
14:43:28:4472,"(0.00, 0.00)",,,,
14:43:28:4544,"(0.00, 0.00)",,,,
14:43:28:4653,"(0.00, 0.00)",,,,
14:43:28:4726,"(0.00, 0.00)",,,,
14:43:28:4816,"(0.00, 0.00)",,,,
14:43:28:4882,"(0.00, 0.00)",,,,
14:43:28:4975,"(0.00, 0.00)",,,,
14:43:28:5046,"(0.00, 0.00)",,,,
14:43:28:5132,"(0.00, 0.00)",,,,
14:43:28:5206,"(0.00, 0.00)",,,,
14:43:28:5279,"(0.00, 0.00)",,,,
14:43:28:5365,"(0.00, 0.00)",,,,
14:43:28:5446,"(0.00, 0.00)",,,,
14:43:28:5522,"(0.00, 0.00)",,,,
14:43:28:5613,"(0.00, 0.00)",,,,
14:43:28:5706,"(0.00, 0.00)",,,,
14:43:28:5802,"(0.00, 0.00)",,,,
14:43:28:5884,"(0.00, 0.00)",,,,
14:43:28:5971,"(0.00, 0.00)",,,,
14:43:28:6046,"(0.00, 0.00)",,,,
14:43:28:6133,"(0.00, 0.00)",,,,
14:43:28:6204,"(0.00, 0.00)",,,,
14:43:28:6280,"(0.00, 0.00)",,,,
14:43:28:6371,"(0.00, 0.00)",,,,
14:43:28:6440,"(0.00, 0.00)",,,,
14:43:28:6516,"(0.00, 0.00)",,,,
14:43:28:8943,"(0.00, 0.00)",,,,
14:43:28:9789,"(0.00, 0.00)",,,,
14:43:29:0000,"(0.00, 0.00)",,,,
14:43:29:0147,"(0.00, 0.00)",,,,
14:43:29:0274,"(0.00, 0.00)",,,,
14:43:29:0405,"(0.00, 0.00)",,,,
14:43:29:0532,"(0.00, 0.00)",,,,
14:43:29:0889,"(0.00, 0.00)",,,,
14:43:29:1006,"(0.00, 0.00)",,,,
14:43:29:1077,"(0.00, 0.00)",,,,
