timestamp,PointerPosition,SubState,missionName,lastMissionState,missionEvent
14:07:23:1281,"(0.00, 0.00)",,W-32_S-1,,nextMission
14:07:25:5388,"(0.00, 0.00)",,,,
14:07:25:6589,"(0.00, 0.00)",,,,
14:07:25:6731,"(0.00, 0.00)",,,,
14:07:25:6812,"(0.00, 0.00)",,,,
14:07:25:6893,"(0.00, 0.00)",,,,
14:07:25:6979,"(0.00, 0.00)",,,,
14:07:25:7077,"(0.00, 0.00)",,,,
14:07:25:7196,"(0.00, 0.00)",,,,
14:07:25:7308,"(0.00, 0.00)",,,,
14:07:25:7420,"(0.00, 0.00)",,,,
14:07:25:7534,"(0.00, 0.00)",,,,
14:07:25:7631,"(0.00, 0.00)",,,,
14:07:25:7706,"(0.00, 0.00)",,,,
14:07:25:7804,"(0.00, 0.00)",,,,
14:07:25:7885,"(0.00, 0.00)",,,,
14:07:25:8023,"(0.00, 0.00)",,,,
14:07:25:8138,"(0.00, 0.00)",,,,
14:07:25:8233,"(0.00, 0.00)",,,,
14:07:25:8324,"(0.00, 0.00)",,,,
14:07:25:8404,"(0.00, 0.00)",,,,
14:07:25:8494,"(0.00, 0.00)",,,,
14:07:25:8576,"(0.00, 0.00)",,,,
14:07:25:8664,"(0.00, 0.00)",,,,
14:07:25:8745,"(0.00, 0.00)",,,,
14:07:25:8831,"(0.00, 0.00)",,,,
14:07:25:8923,"(0.00, 0.00)",,,,
14:07:25:8999,"(0.00, 0.00)",,,,
14:07:25:9096,"(0.00, 0.00)",,,,
14:07:25:9192,"(0.00, 0.00)",,,,
14:07:25:9278,"(0.00, 0.00)",,,,
14:07:25:9380,"(0.00, 0.00)",,,,
14:07:25:9471,"(0.00, 0.00)",,,,
14:07:25:9562,"(0.00, 0.00)",,,,
14:07:25:9652,"(0.00, 0.00)",,,,
14:07:25:9733,"(0.00, 0.00)",,,,
14:07:25:9830,"(0.00, 0.00)",,,,
14:07:25:9925,"(0.00, 0.00)",,,,
14:07:26:0009,"(0.00, 0.00)",,,,
14:07:26:0101,"(0.00, 0.00)",,,,
14:07:26:0177,"(0.00, 0.00)",,,,
14:07:26:0283,"(0.00, 0.00)",,,,
14:07:26:0380,"(0.00, 0.00)",,,,
14:07:26:0465,"(0.00, 0.00)",,,,
14:07:26:0584,"(0.00, 0.00)",,,,
14:07:26:0671,"(0.00, 0.00)",,,,
14:07:26:0770,"(0.00, 0.00)",,,,
14:07:26:0867,"(0.00, 0.00)",,,,
14:07:26:0958,"(0.00, 0.00)",,,,
14:07:26:1055,"(0.00, 0.00)",,,,
14:07:26:1141,"(0.00, 0.00)",,,,
14:07:26:1277,"(0.00, 0.00)",,,,
14:07:26:1374,"(0.00, 0.00)",,,,
14:07:26:1440,"(0.00, 0.00)",,,,
14:07:26:1542,"(0.00, 0.00)",,,,
14:07:26:1633,"(0.00, 0.00)",,,,
14:07:26:1713,"(0.00, 0.00)",,,,
14:07:26:1783,"(0.00, 0.00)",,,,
14:07:26:1875,"(0.00, 0.00)",,,,
14:07:26:1950,"(0.00, 0.00)",,,,
14:07:26:2034,"(0.00, 0.00)",,,,
14:07:26:2120,"(0.00, 0.00)",,,,
14:07:26:2200,"(0.00, 0.00)",,,,
14:07:26:2286,"(0.00, 0.00)",,,,
14:07:26:2361,"(0.00, 0.00)",,,,
14:07:26:2447,"(0.00, 0.00)",,,,
14:07:26:2532,"(0.00, 0.00)",,,,
14:07:26:2608,"(0.00, 0.00)",,,,
14:07:26:2709,"(0.00, 0.00)",,,,
14:07:26:2791,"(0.00, 0.00)",,,,
14:07:26:2862,"(0.00, 0.00)",,,,
14:07:26:2983,"(0.00, 0.00)",,,,
14:07:26:3095,"(0.00, 0.00)",,,,
14:07:26:3165,"(0.00, 0.00)",,,,
14:07:26:3274,"(0.00, 0.00)",,,,
14:07:26:3360,"(0.00, 0.00)",,,,
14:07:26:3448,"(0.00, 0.00)",,,,
14:07:26:3534,"(0.00, 0.00)",,,,
14:07:26:3621,"(0.00, 0.00)",,,,
14:07:26:3718,"(0.00, 0.00)",,,,
14:07:26:3819,"(0.00, 0.00)",,,,
14:07:26:3922,"(0.00, 0.00)",,,,
14:07:26:4040,"(0.00, 0.00)",,,,
14:07:26:4140,"(0.00, 0.00)",,,,
14:07:26:4246,"(0.00, 0.00)",,,,
14:07:26:4372,"(0.00, 0.00)",,,,
14:07:26:4466,"(0.00, 0.00)",,,,
14:07:26:4557,"(0.00, 0.00)",,,,
14:07:26:4648,"(0.00, 0.00)",,,,
14:07:26:4774,"(0.00, 0.00)",,,,
14:07:26:4880,"(0.00, 0.00)",,,,
14:07:26:4985,"(0.00, 0.00)",,,,
14:07:26:5103,"(0.00, 0.00)",,,,
14:07:26:5189,"(0.00, 0.00)",,,,
14:07:26:5284,"(0.00, 0.00)",,,,
14:07:26:5411,"(0.00, 0.00)",,,,
14:07:26:5528,"(0.00, 0.00)",,,,
14:07:26:5645,"(0.00, 0.00)",,,,
14:07:26:5753,"(0.00, 0.00)",,,,
14:07:26:5865,"(0.00, 0.00)",,,,
14:07:26:5976,"(0.00, 0.00)",,,,
14:07:26:6114,"(0.00, 0.00)",,,,
14:07:26:6224,"(0.00, 0.00)",,,,
14:07:26:6357,"(0.00, 0.00)",,,,
14:07:26:6490,"(0.00, 0.00)",,,,
14:07:26:6632,"(0.00, 0.00)",,,,
14:07:26:6762,"(0.00, 0.00)",,,,
14:07:26:6859,"(0.00, 0.00)",,,,
14:07:26:6967,"(0.00, 0.00)",,,,
14:07:26:7074,"(0.00, 0.00)",,,,
14:07:26:7211,"(0.00, 0.00)",,,,
14:07:26:7327,"(0.00, 0.00)",,,,
14:07:26:7476,"(0.00, 0.00)",,,,
14:07:26:7609,"(0.00, 0.00)",,,,
14:07:26:7720,"(0.00, 0.00)",,,,
14:07:26:7816,"(0.00, 0.00)",,,,
14:07:26:7913,"(0.00, 0.00)",,,,
14:07:26:8004,"(0.00, 0.00)",,,,
14:07:26:8123,"(0.00, 0.00)",,,,
14:07:26:8260,"(0.00, 0.00)",,,,
14:07:26:8362,"(0.00, 0.00)",,,,
14:07:26:8477,"(0.00, 0.00)",,,,
14:07:26:8594,"(0.00, 0.00)",,,,
14:07:26:8705,"(0.00, 0.00)",,,,
14:07:26:8790,"(0.00, 0.00)",,,,
14:07:26:8866,"(0.00, 0.00)",,,,
14:07:26:8967,"(0.00, 0.00)",,,,
14:07:26:9063,"(0.00, 0.00)",,,,
14:07:26:9133,"(0.00, 0.00)",,,,
14:07:26:9256,"(0.00, 0.00)",,,,
14:07:26:9395,"(0.00, 0.00)",,,,
14:07:26:9512,"(0.00, 0.00)",,,,
14:07:26:9638,"(0.00, 0.00)",,,,
14:07:26:9734,"(0.00, 0.00)",,,,
14:07:26:9866,"(0.00, 0.00)",,,,
14:07:26:9998,"(0.00, 0.00)",,,,
14:07:27:0140,"(0.00, 0.00)",,,,
14:07:27:0274,"(0.00, 0.00)",,,,
14:07:27:0396,"(0.00, 0.00)",,,,
14:07:27:0511,"(0.00, 0.00)",,,,
14:07:27:0654,"(0.00, 0.00)",,,,
14:07:27:0765,"(0.00, 0.00)",,,,
14:07:27:0907,"(0.00, 0.00)",,,,
14:07:27:1026,"(0.00, 0.00)",,,,
14:07:27:1122,"(0.00, 0.00)",,,,
14:07:27:1213,"(0.00, 0.00)",,,,
14:07:27:1299,"(0.00, 0.00)",,,,
14:07:27:1395,"(0.00, 0.00)",,,,
14:07:27:1500,"(0.00, 0.00)",,,,
14:07:27:1602,"(0.00, 0.00)",,,,
14:07:27:1723,"(0.00, 0.00)",,,,
14:07:27:1881,"(0.00, 0.00)",,,,
14:07:27:2019,"(0.00, 0.00)",,,,
14:07:27:2167,"(0.00, 0.00)",,,,
14:07:27:2319,"(0.00, 0.00)",,,,
14:07:27:2481,"(0.00, 0.00)",,,,
14:07:27:2618,"(0.00, 0.00)",,,,
14:07:27:2800,"(0.00, 0.00)",,,,
14:07:27:2932,"(0.00, 0.00)",,,,
14:07:27:3064,"(0.00, 0.00)",,,,
14:07:27:3222,"(0.00, 0.00)",,,,
14:07:27:3355,"(0.00, 0.00)",,,,
14:07:27:3523,"(0.00, 0.00)",,,,
14:07:27:3656,"(0.00, 0.00)",,,,
14:07:27:3808,"(0.00, 0.00)",,,,
14:07:27:3966,"(0.00, 0.00)",,,,
14:07:27:4099,"(0.00, 0.00)",,,,
14:07:27:4218,"(0.00, 0.00)",,,,
14:07:27:4405,"(0.00, 0.00)",,,,
