timestamp,PointerPosition,SubState,missionName,lastMissionState,missionEvent
15:02:01:4114,"(0.00, 0.00)",,W-46_S-2,,nextMission
15:02:04:1985,"(0.00, 0.00)",,,,
15:02:04:3877,"(0.00, 0.00)",,,,
15:02:04:4273,"(0.00, 0.00)",,,,
15:02:04:4382,"(0.00, 0.00)",,,,
15:02:04:4498,"(0.00, 0.00)",,,,
15:02:04:4599,"(0.00, 0.00)",,,,
15:02:04:4709,"(0.00, 0.00)",,,,
15:02:04:4801,"(0.00, 0.00)",,,,
15:02:04:4899,"(0.00, 0.00)",,,,
15:02:04:4992,"(0.00, 0.00)",,,,
15:02:04:5099,"(0.00, 0.00)",,,,
15:02:04:5212,"(0.00, 0.00)",,,,
15:02:04:5293,"(0.00, 0.00)",,,,
15:02:04:5375,"(0.00, 0.00)",,,,
15:02:04:5455,"(0.00, 0.00)",,,,
15:02:04:5532,"(0.00, 0.00)",,,,
15:02:04:5603,"(0.00, 0.00)",,,,
15:02:04:5688,"(0.00, 0.00)",,,,
15:02:04:5764,"(0.00, 0.00)",,,,
15:02:04:5849,"(0.00, 0.00)",,,,
15:02:04:5933,"(0.00, 0.00)",,,,
15:02:04:6021,"(0.00, 0.00)",,,,
15:02:04:6117,"(0.00, 0.00)",,,,
15:02:04:6208,"(0.00, 0.00)",,,,
15:02:04:6348,"(0.00, 0.00)",,,,
15:02:04:6501,"(0.00, 0.00)",,,,
15:02:04:6667,"(0.00, 0.00)",,,,
15:02:04:6814,"(0.00, 0.00)",,,,
15:02:04:7014,"(0.00, 0.00)",,,,
15:02:04:7169,"(0.00, 0.00)",,,,
15:02:04:7350,"(0.00, 0.00)",,,,
15:02:04:7530,"(0.00, 0.00)",,,,
15:02:04:7651,"(0.00, 0.00)",,,,
15:02:04:7819,"(0.00, 0.00)",,,,
15:02:04:7943,"(0.00, 0.00)",,,,
15:02:04:8113,"(0.00, 0.00)",,,,
15:02:04:8251,"(0.00, 0.00)",,,,
15:02:04:8397,"(0.00, 0.00)",,,,
15:02:04:8540,"(0.00, 0.00)",,,,
15:02:04:8681,"(0.00, 0.00)",,,,
15:02:04:8787,"(0.00, 0.00)",,,,
15:02:04:8873,"(0.00, 0.00)",,,,
15:02:04:8933,"(0.00, 0.00)",,,,
15:02:04:9030,"(0.00, 0.00)",,,,
15:02:04:9096,"(0.00, 0.00)",,,,
15:02:04:9193,"(0.00, 0.00)",,,,
15:02:04:9280,"(0.00, 0.00)",,,,
15:02:04:9361,"(0.00, 0.00)",,,,
15:02:04:9432,"(0.00, 0.00)",,,,
15:02:04:9547,"(0.00, 0.00)",,,,
15:02:04:9620,"(0.00, 0.00)",,,,
15:02:04:9717,"(0.00, 0.00)",,,,
15:02:04:9797,"(0.00, 0.00)",,,,
15:02:04:9914,"(0.00, 0.00)",,,,
15:02:04:9994,"(0.00, 0.00)",,,,
15:02:05:0085,"(0.00, 0.00)",,,,
15:02:05:0171,"(0.00, 0.00)",,,,
15:02:05:0277,"(0.00, 0.00)",,,,
15:02:05:0374,"(0.00, 0.00)",,,,
15:02:05:0459,"(0.00, 0.00)",,,,
15:02:05:0547,"(0.00, 0.00)",,,,
15:02:05:0624,"(0.00, 0.00)",,,,
15:02:05:0720,"(0.00, 0.00)",,,,
15:02:05:0814,"(0.00, 0.00)",,,,
15:02:05:0899,"(0.00, 0.00)",,,,
15:02:05:0996,"(0.00, 0.00)",,,,
15:02:05:1090,"(0.00, 0.00)",,,,
15:02:05:1183,"(0.00, 0.00)",,,,
15:02:05:1265,"(0.00, 0.00)",,,,
15:02:05:1340,"(0.00, 0.00)",,,,
15:02:05:1430,"(0.00, 0.00)",,,,
15:02:05:1525,"(0.00, 0.00)",,,,
15:02:05:1601,"(0.00, 0.00)",,,,
15:02:05:1692,"(0.00, 0.00)",,,,
15:02:05:1768,"(0.00, 0.00)",,,,
15:02:05:1844,"(0.00, 0.00)",,,,
15:02:05:1920,"(0.00, 0.00)",,,,
15:02:05:2012,"(0.00, 0.00)",,,,
15:02:05:2088,"(0.00, 0.00)",,,,
15:02:05:2198,"(0.00, 0.00)",,,,
