timestamp,PointerPosition,SubState,missionName,lastMissionState,missionEvent
14:31:47:8854,"(0.00, 0.00)",,W-24_S-1,,nextMission
14:31:50:8774,"(0.00, 0.00)",,,,
14:31:51:2214,"(0.00, 0.00)",,,,
14:31:51:6703,"(0.00, 0.00)",,,,
14:31:53:7872,"(0.00, 0.00)",,,,
14:31:53:8163,"(0.00, 0.00)",,,,
14:31:53:8244,"(0.00, 0.00)",,,,
14:31:53:8320,"(0.00, 0.00)",,,,
14:31:53:8392,"(0.00, 0.00)",,,,
14:31:53:8462,"(0.00, 0.00)",,,,
14:31:53:8537,"(0.00, 0.00)",,,,
14:31:53:8598,"(0.00, 0.00)",,,,
14:31:53:8673,"(0.00, 0.00)",,,,
14:31:53:8752,"(0.00, 0.00)",,,,
14:31:53:8830,"(0.00, 0.00)",,,,
14:31:53:8918,"(0.00, 0.00)",,,,
14:31:53:8990,"(0.00, 0.00)",,,,
14:31:53:9066,"(0.00, 0.00)",,,,
14:31:53:9137,"(0.00, 0.00)",,,,
14:31:53:9213,"(0.00, 0.00)",,,,
14:31:53:9284,"(0.00, 0.00)",,,,
14:31:53:9360,"(0.00, 0.00)",,,,
14:31:53:9427,"(0.00, 0.00)",,,,
14:31:53:9504,"(0.00, 0.00)",,,,
14:31:53:9565,"(0.00, 0.00)",,,,
14:31:53:9654,"(0.00, 0.00)",,,,
14:31:53:9771,"(0.00, 0.00)",,,,
14:31:53:9858,"(0.00, 0.00)",,,,
14:31:53:9929,"(0.00, 0.00)",,,,
14:31:54:0031,"(0.00, 0.00)",,,,
14:31:54:0123,"(0.00, 0.00)",,,,
14:31:54:0219,"(0.00, 0.00)",,,,
14:31:54:0294,"(0.00, 0.00)",,,,
14:31:54:0392,"(0.00, 0.00)",,,,
14:31:54:0489,"(0.00, 0.00)",,,,
14:31:54:0566,"(0.00, 0.00)",,,,
14:31:54:0650,"(0.00, 0.00)",,,,
14:31:54:0737,"(0.00, 0.00)",,,,
14:31:54:0830,"(0.00, 0.00)",,,,
14:31:54:0890,"(0.00, 0.00)",,,,
14:31:54:0961,"(0.00, 0.00)",,,,
14:31:54:1035,"(0.00, 0.00)",,,,
14:31:54:1113,"(0.00, 0.00)",,,,
14:31:54:1191,"(0.00, 0.00)",,,,
14:31:54:1275,"(0.00, 0.00)",,,,
14:31:54:1352,"(0.00, 0.00)",,,,
14:31:54:1423,"(0.00, 0.00)",,,,
14:31:54:1500,"(0.00, 0.00)",,,,
14:31:54:1568,"(0.00, 0.00)",,,,
14:31:54:1650,"(0.00, 0.00)",,,,
14:31:54:1723,"(0.00, 0.00)",,,,
14:31:54:1810,"(0.00, 0.00)",,,,
14:31:54:1911,"(0.00, 0.00)",,,,
14:31:54:2003,"(0.00, 0.00)",,,,
14:31:54:2110,"(0.00, 0.00)",,,,
14:31:54:2253,"(0.00, 0.00)",,,,
14:31:54:2381,"(0.00, 0.00)",,,,
14:31:54:2508,"(0.00, 0.00)",,,,
14:31:54:2661,"(0.00, 0.00)",,,,
14:31:54:2793,"(0.00, 0.00)",,,,
14:31:54:2967,"(0.00, 0.00)",,,,
14:31:54:3118,"(0.00, 0.00)",,,,
14:31:54:3286,"(0.00, 0.00)",,,,
14:31:54:3433,"(0.00, 0.00)",,,,
14:31:54:3601,"(0.00, 0.00)",,,,
14:31:54:3815,"(0.00, 0.00)",,,,
14:31:54:3938,"(0.00, 0.00)",,,,
14:31:54:4036,"(0.00, 0.00)",,,,
14:31:54:4153,"(0.00, 0.00)",,,,
14:31:54:4251,"(0.00, 0.00)",,,,
14:31:54:4331,"(0.00, 0.00)",,,,
14:31:54:4420,"(0.00, 0.00)",,,,
14:31:54:4490,"(0.00, 0.00)",,,,
14:31:54:4567,"(0.00, 0.00)",,,,
14:31:54:4648,"(0.00, 0.00)",,,,
14:31:54:4760,"(0.00, 0.00)",,,,
14:31:54:4831,"(0.00, 0.00)",,,,
14:31:54:4927,"(0.00, 0.00)",,,,
14:31:54:4997,"(0.00, 0.00)",,,,
14:31:54:5084,"(0.00, 0.00)",,,,
14:31:54:5163,"(0.00, 0.00)",,,,
14:31:54:5238,"(0.00, 0.00)",,,,
14:31:54:5332,"(0.00, 0.00)",,,,
14:31:54:5416,"(0.00, 0.00)",,,,
14:31:54:5485,"(0.00, 0.00)",,,,
14:31:54:5584,"(0.00, 0.00)",,,,
14:31:54:5674,"(0.00, 0.00)",,,,
14:31:54:5750,"(0.00, 0.00)",,,,
14:31:54:5831,"(0.00, 0.00)",,,,
14:31:54:5908,"(0.00, 0.00)",,,,
14:31:54:6003,"(0.00, 0.00)",,,,
14:31:54:6095,"(0.00, 0.00)",,,,
14:31:54:6176,"(0.00, 0.00)",,,,
14:31:54:6263,"(0.00, 0.00)",,,,
14:31:54:6349,"(0.00, 0.00)",,,,
14:31:54:6440,"(0.00, 0.00)",,,,
14:31:54:6516,"(0.00, 0.00)",,,,
14:31:54:6610,"(0.00, 0.00)",,,,
14:31:54:6696,"(0.00, 0.00)",,,,
14:31:56:5801,"(0.00, 0.00)",,,,
