timestamp,PointerPosition,missionName,lastMissionState,missionEvent
15:41:22:6508,"(0.00, 0.00)",W-51_S-1,,nextMission
15:41:25:5857,"(0.00, 0.00)",,,
15:41:25:8744,"(0.00, 0.00)",,,
15:41:26:3442,"(0.00, 0.00)",,,
15:41:26:5369,"(0.00, 0.00)",,,
15:41:26:5643,"(0.00, 0.00)",,,
15:41:26:5759,"(0.00, 0.00)",,,
15:41:26:5830,"(0.00, 0.00)",,,
15:41:26:5907,"(0.00, 0.00)",,,
15:41:26:5997,"(0.00, 0.00)",,,
15:41:26:6074,"(0.00, 0.00)",,,
15:41:26:6149,"(0.00, 0.00)",,,
15:41:26:6220,"(0.00, 0.00)",,,
15:41:26:6302,"(0.00, 0.00)",,,
15:41:26:6368,"(0.00, 0.00)",,,
15:41:26:6438,"(0.00, 0.00)",,,
15:41:26:6521,"(0.00, 0.00)",,,
15:41:26:6582,"(0.00, 0.00)",,,
15:41:26:6692,"(0.00, 0.00)",,,
15:41:26:6836,"(0.00, 0.00)",,,
15:41:26:6938,"(0.00, 0.00)",,,
15:41:26:7009,"(0.00, 0.00)",,,
15:41:26:7091,"(0.00, 0.00)",,,
15:41:26:7187,"(0.00, 0.00)",,,
15:41:26:7252,"(0.00, 0.00)",,,
15:41:26:7335,"(0.00, 0.00)",,,
15:41:26:7404,"(0.00, 0.00)",,,
15:41:26:7490,"(0.00, 0.00)",,,
15:41:26:7565,"(0.00, 0.00)",,,
15:41:26:7650,"(0.00, 0.00)",,,
15:41:26:7716,"(0.00, 0.00)",,,
15:41:26:7794,"(0.00, 0.00)",,,
15:41:26:7854,"(0.00, 0.00)",,,
15:41:26:7978,"(0.00, 0.00)",,,
15:41:26:8079,"(0.00, 0.00)",,,
15:41:26:8200,"(0.00, 0.00)",,,
15:41:26:8306,"(0.00, 0.00)",,,
15:41:26:8418,"(0.00, 0.00)",,,
15:41:26:8545,"(0.00, 0.00)",,,
15:41:26:8663,"(0.00, 0.00)",,,
15:41:26:8781,"(0.00, 0.00)",,,
15:41:26:8898,"(0.00, 0.00)",,,
15:41:26:9012,"(0.00, 0.00)",,,
15:41:26:9143,"(0.00, 0.00)",,,
15:41:26:9235,"(0.00, 0.00)",,,
15:41:26:9361,"(0.00, 0.00)",,,
15:41:26:9487,"(0.00, 0.00)",,,
15:41:26:9646,"(0.00, 0.00)",,,
15:41:26:9762,"(0.00, 0.00)",,,
15:41:26:9874,"(0.00, 0.00)",,,
15:41:27:0000,"(0.00, 0.00)",,,
15:41:27:0109,"(0.00, 0.00)",,,
15:41:27:0245,"(0.00, 0.00)",,,
15:41:27:0366,"(0.00, 0.00)",,,
15:41:27:0483,"(0.00, 0.00)",,,
15:41:27:0554,"(0.00, 0.00)",,,
15:41:27:0630,"(0.00, 0.00)",,,
15:41:27:0696,"(0.00, 0.00)",,,
15:41:27:0790,"(0.00, 0.00)",,,
15:41:27:0851,"(0.00, 0.00)",,,
15:41:27:0937,"(0.00, 0.00)",,,
15:41:27:1008,"(0.00, 0.00)",,,
15:41:27:1073,"(0.00, 0.00)",,,
15:41:27:1170,"(0.00, 0.00)",,,
15:41:27:1265,"(0.00, 0.00)",,,
15:41:27:1342,"(0.00, 0.00)",,,
15:41:27:1412,"(0.00, 0.00)",,,
15:41:27:1495,"(0.00, 0.00)",,,
15:41:27:1571,"(0.00, 0.00)",,,
15:41:27:1652,"(0.00, 0.00)",,,
15:41:27:1724,"(0.00, 0.00)",,,
15:41:27:1835,"(0.00, 0.00)",,,
15:41:27:1901,"(0.00, 0.00)",,,
15:41:27:2022,"(0.00, 0.00)",,,
15:41:27:2183,"(0.00, 0.00)",,,
15:41:27:2297,"(0.00, 0.00)",,,
15:41:27:2383,"(0.00, 0.00)",,,
15:41:27:2481,"(0.00, 0.00)",,,
15:41:27:2572,"(0.00, 0.00)",,,
15:41:27:2652,"(0.00, 0.00)",,,
15:41:27:2754,"(0.00, 0.00)",,,
15:41:27:2860,"(0.00, 0.00)",,,
15:41:27:2926,"(0.00, 0.00)",,,
15:41:27:3006,"(0.00, 0.00)",,,
15:41:27:3073,"(0.00, 0.00)",,,
15:41:27:3181,"(0.00, 0.00)",,,
