timestamp,SubState,missionName,lastMissionState,missionEvent
16:01:03:7011,,W-55_S-1,,nextMission
16:01:27:5309,,W-13_S-1,failed,nextMission
16:01:31:0099,,W-9_S-1,success,nextMission
16:01:33:5907,,W-36_S-1,success,nextMission
16:01:35:8350,,W-15_S-1,success,nextMission
16:01:37:9920,,W-16_S-1,failed,nextMission
16:01:40:2049,,W-55_S-1,failed,nextMission
16:01:44:0771,,W-1_S-1,success,nextMission
16:01:44:5577,,W-15_S-1,success,nextMission
16:01:44:9901,,W-25_S-1,success,nextMission
16:01:47:4001,,W-44_S-2,success,nextMission
16:01:47:6203,,W-55_S-1,success,nextMission
16:01:47:8338,,W-1_S-2,success,nextMission
16:01:48:0222,,W-17_S-2,success,nextMission
