timestamp,SubState,missionName,lastMissionState,missionEvent
11:45:44:9106,,W-17_S-1,,nextMission
11:45:59:3263,Stop,,,
11:46:00:0301,GoStraight,,,
11:46:00:5684,GoRight,,,
11:46:01:0281,GoStraight,,,
11:46:01:4596,Stop,,,
11:46:01:9736,GoStraight,,,
11:46:02:3986,GoRight,,,
11:46:02:7897,Stop,,,
11:46:03:1612,GoStraight,,,
11:46:03:7329,GoRight,,,
11:46:04:1971,GoStraight,,,
11:46:05:3933,GoRight,,,
11:46:06:0107,GoStraight,,,
11:46:10:7778,GoRight,,,
11:46:15:7659,,W-34_S-1,failed,nextMission
11:46:34:6813,,W-60_S-1,failed,nextMission
11:46:34:9339,,W-17_S-2,failed,nextMission
11:46:35:1422,,W-23_S-1,success,nextMission
11:46:35:3591,,W-14_S-2,success,nextMission
11:46:35:5532,,W-13_S-1,success,nextMission
11:46:35:7538,,W-6_S-1,success,nextMission
11:46:37:1956,,W-30_S-1,success,nextMission
11:46:37:8254,,W-22_S-1,failed,nextMission
11:46:38:3092,,W-58_S-1,success,nextMission
11:46:38:7701,,W-46_S-1,failed,nextMission
11:46:39:2449,,W-52_S-1,failed,nextMission
11:46:39:6530,,W-12_S-1,success,nextMission
11:46:40:0614,,W-13_S-1,success,nextMission
11:46:40:4534,,W-48_S-1,success,nextMission
11:46:40:8682,,W-13_S-1,success,nextMission
11:46:41:2786,,W-26_S-1,success,nextMission
11:46:41:6519,,W-6_S-1,success,nextMission
11:46:42:0483,,W-33_S-1,success,nextMission
11:46:42:4339,,W-13_S-1,success,nextMission
11:46:42:8183,,W-33_S-1,success,nextMission
11:46:43:2001,,W-16_S-1,success,nextMission
11:46:43:5694,,W-14_S-2,success,nextMission
11:46:43:9533,,W-24_S-1,success,nextMission
11:46:44:3325,,W-21_S-1,success,nextMission
11:46:44:7136,,W-56_S-1,success,nextMission
11:46:45:1157,,W-34_S-1,success,nextMission
11:46:45:5022,,W-20_S-1,failed,nextMission
11:46:45:8909,,W-14_S-2,success,nextMission
11:46:46:2670,,W-1_S-1,success,nextMission
11:46:46:6749,,W-24_S-1,success,nextMission
11:46:47:0483,,W-53_S-1,success,nextMission
11:46:47:4436,,W-36_S-1,success,nextMission
11:46:47:8393,,W-46_S-2,success,nextMission
11:46:48:2294,,W-36_S-1,success,nextMission
11:46:48:6472,,W-44_S-2,success,nextMission
11:46:49:1617,,W-2_S-1,success,nextMission
11:46:49:9954,,W-17_S-2,success,nextMission
11:46:50:3876,,W-17_S-1,success,nextMission
11:46:50:7505,,W-1_S-1,success,nextMission
11:46:51:1213,,W-44_S-1,success,nextMission
11:46:51:5032,,W-7_S-1,failed,nextMission
11:46:52:1588,GoStraight,,,
11:46:52:8615,TurnRight,,,
11:46:53:4897,Stop,,,
11:46:55:5828,TurnRight,W-32_S-1,failed,nextMission
