timestamp,PointerPosition,SubState,missionName,lastMissionState,missionEvent
15:10:45:0054,"(0.00, 0.00)",,W-15_S-1,,nextMission
15:10:47:6845,"(0.00, 0.00)",,,,
15:10:47:8190,"(0.00, 0.00)",,,,
15:10:47:8413,"(0.00, 0.00)",,,,
15:10:47:8656,"(0.00, 0.00)",,,,
15:10:47:8828,"(0.00, 0.00)",,,,
15:10:47:8980,"(0.00, 0.00)",,,,
15:10:47:9142,"(0.00, 0.00)",,,,
15:10:47:9317,"(0.00, 0.00)",,,,
15:10:47:9473,"(0.00, 0.00)",,,,
15:10:47:9818,"(0.00, 0.00)",,,,
15:10:47:9945,"(0.00, 0.00)",,,,
15:10:48:0073,"(0.00, 0.00)",,,,
15:10:48:0205,"(0.00, 0.00)",,,,
15:10:48:0335,"(0.00, 0.00)",,,,
15:10:48:0457,"(0.00, 0.00)",,,,
15:10:48:0585,"(0.00, 0.00)",,,,
15:10:48:0747,"(0.00, 0.00)",,,,
15:10:48:0886,"(0.00, 0.00)",,,,
15:10:48:0998,"(0.00, 0.00)",,,,
15:10:48:1073,"(0.00, 0.00)",,,,
15:10:48:1191,"(0.00, 0.00)",,,,
15:10:48:1313,"(0.00, 0.00)",,,,
15:10:48:1413,"(0.00, 0.00)",,,,
15:10:48:1508,"(0.00, 0.00)",,,,
15:10:48:1662,"(0.00, 0.00)",,,,
15:10:48:1758,"(0.00, 0.00)",,,,
15:10:48:1868,"(0.00, 0.00)",,,,
15:10:48:2000,"(0.00, 0.00)",,,,
15:10:48:2080,"(0.00, 0.00)",,,,
15:10:48:2197,"(0.00, 0.00)",,,,
15:10:48:2317,"(0.00, 0.00)",,,,
15:10:48:2428,"(0.00, 0.00)",,,,
15:10:48:2552,"(0.00, 0.00)",,,,
15:10:48:2658,"(0.00, 0.00)",,,,
15:10:48:2751,"(0.00, 0.00)",,,,
15:10:48:2877,"(0.00, 0.00)",,,,
15:10:48:3009,"(0.00, 0.00)",,,,
15:10:48:3111,"(0.00, 0.00)",,,,
15:10:48:3222,"(0.00, 0.00)",,,,
15:10:48:3324,"(0.00, 0.00)",,,,
15:10:48:3425,"(0.00, 0.00)",,,,
15:10:48:3537,"(0.00, 0.00)",,,,
15:10:48:3670,"(0.00, 0.00)",,,,
15:10:48:3766,"(0.00, 0.00)",,,,
15:10:48:3882,"(0.00, 0.00)",,,,
15:10:48:4008,"(0.00, 0.00)",,,,
15:10:48:4105,"(0.00, 0.00)",,,,
15:10:48:4230,"(0.00, 0.00)",,,,
15:10:48:4362,"(0.00, 0.00)",,,,
15:10:48:4495,"(0.00, 0.00)",,,,
15:10:48:4595,"(0.00, 0.00)",,,,
15:10:48:4707,"(0.00, 0.00)",,,,
