timestamp,PointerPosition,SubState,missionName,lastMissionState,missionEvent
15:27:11:6310,"(0.00, 0.00)",,W-50_S-1,,nextMission
15:27:14:8482,"(0.00, 0.00)",,,,
15:27:15:2132,"(0.00, 0.00)",,,,
15:27:15:2412,"(0.00, 0.00)",,,,
15:27:15:2518,"(0.00, 0.00)",,,,
15:27:15:2646,"(0.00, 0.00)",,,,
15:27:15:2750,"(0.00, 0.00)",,,,
15:27:15:2840,"(0.00, 0.00)",,,,
15:27:15:2924,"(0.00, 0.00)",,,,
15:27:15:3006,"(0.00, 0.00)",,,,
15:27:15:3093,"(0.00, 0.00)",,,,
15:27:15:3180,"(0.00, 0.00)",,,,
15:27:15:3274,"(0.00, 0.00)",,,,
15:27:15:3411,"(0.00, 0.00)",,,,
15:27:15:3504,"(0.00, 0.00)",,,,
15:27:15:3592,"(0.00, 0.00)",,,,
15:27:15:3701,"(0.00, 0.00)",,,,
15:27:15:3793,"(0.00, 0.00)",,,,
15:27:15:3876,"(0.00, 0.00)",,,,
15:27:15:4004,"(0.00, 0.00)",,,,
15:27:15:4091,"(0.00, 0.00)",,,,
15:27:15:4184,"(0.00, 0.00)",,,,
15:27:15:4277,"(0.00, 0.00)",,,,
15:27:15:4383,"(0.00, 0.00)",,,,
15:27:15:4474,"(0.00, 0.00)",,,,
15:27:15:4561,"(0.00, 0.00)",,,,
15:27:15:4663,"(0.00, 0.00)",,,,
15:27:15:4746,"(0.00, 0.00)",,,,
15:27:15:4827,"(0.00, 0.00)",,,,
15:27:15:4933,"(0.00, 0.00)",,,,
15:27:15:5026,"(0.00, 0.00)",,,,
15:27:15:5161,"(0.00, 0.00)",,,,
15:27:15:5278,"(0.00, 0.00)",,,,
15:27:15:5390,"(0.00, 0.00)",,,,
15:27:15:5517,"(0.00, 0.00)",,,,
15:27:15:5630,"(0.00, 0.00)",,,,
15:27:15:5751,"(0.00, 0.00)",,,,
15:27:15:5893,"(0.00, 0.00)",,,,
15:27:15:6065,"(0.00, 0.00)",,,,
15:27:15:6249,"(0.00, 0.00)",,,,
15:27:15:6432,"(0.00, 0.00)",,,,
15:27:15:6625,"(0.00, 0.00)",,,,
