timestamp,missionName,lastMissionState,missionEvent
12:01:53:6961,,,
12:01:59:0834,W-27_S-1,,nextMission
12:02:13:8919,,success,
12:02:24:0503,,failed,
12:02:59:5744,,failed,
12:03:11:4292,,success,
12:03:20:8914,,success,
