timestamp,PointerPosition,SubState,missionName,lastMissionState,missionEvent
15:46:49:2711,"(0.00, 0.00)",,W-2_S-1,,nextMission
15:46:52:2102,"(0.00, 0.00)",,,,
15:46:52:3436,"(0.00, 0.00)",,,,
15:46:52:3678,"(0.00, 0.00)",,,,
15:46:52:3886,"(0.00, 0.00)",,,,
15:46:52:4009,"(0.00, 0.00)",,,,
15:46:52:4090,"(0.00, 0.00)",,,,
15:46:52:4170,"(0.00, 0.00)",,,,
15:46:52:4249,"(0.00, 0.00)",,,,
15:46:52:4325,"(0.00, 0.00)",,,,
15:46:52:4411,"(0.00, 0.00)",,,,
15:46:52:4496,"(0.00, 0.00)",,,,
15:46:52:4572,"(0.00, 0.00)",,,,
15:46:52:4658,"(0.00, 0.00)",,,,
15:46:52:4735,"(0.00, 0.00)",,,,
15:46:52:4826,"(0.00, 0.00)",,,,
15:46:52:4905,"(0.00, 0.00)",,,,
15:46:52:4996,"(0.00, 0.00)",,,,
15:46:52:5092,"(0.00, 0.00)",,,,
15:46:52:5166,"(0.00, 0.00)",,,,
15:46:52:5273,"(0.00, 0.00)",,,,
15:46:52:5612,"(0.00, 0.00)",,,,
15:46:52:5699,"(0.00, 0.00)",,,,
15:46:52:5825,"(0.00, 0.00)",,,,
15:46:52:5951,"(0.00, 0.00)",,,,
15:46:52:6089,"(0.00, 0.00)",,,,
15:46:52:6221,"(0.00, 0.00)",,,,
15:46:52:6333,"(0.00, 0.00)",,,,
15:46:52:6469,"(0.00, 0.00)",,,,
15:46:52:6591,"(0.00, 0.00)",,,,
15:46:52:6736,"(0.00, 0.00)",,,,
15:46:52:6860,"(0.00, 0.00)",,,,
15:46:52:6990,"(0.00, 0.00)",,,,
15:46:52:7142,"(0.00, 0.00)",,,,
15:46:52:7266,"(0.00, 0.00)",,,,
15:46:52:7377,"(0.00, 0.00)",,,,
15:46:52:7509,"(0.00, 0.00)",,,,
15:46:52:7656,"(0.00, 0.00)",,,,
15:46:52:7787,"(0.00, 0.00)",,,,
15:46:52:7899,"(0.00, 0.00)",,,,
15:46:52:8041,"(0.00, 0.00)",,,,
15:46:52:8138,"(0.00, 0.00)",,,,
15:46:52:8215,"(0.00, 0.00)",,,,
15:46:52:8285,"(0.00, 0.00)",,,,
15:46:52:8391,"(0.00, 0.00)",,,,
15:46:52:8482,"(0.00, 0.00)",,,,
15:46:52:8566,"(0.00, 0.00)",,,,
15:46:52:8646,"(0.00, 0.00)",,,,
15:46:52:8727,"(0.00, 0.00)",,,,
15:46:52:8809,"(0.00, 0.00)",,,,
15:46:52:8885,"(0.00, 0.00)",,,,
15:46:52:8971,"(0.00, 0.00)",,,,
15:46:52:9047,"(0.00, 0.00)",,,,
15:46:52:9126,"(0.00, 0.00)",,,,
15:46:52:9216,"(0.00, 0.00)",,,,
15:46:52:9280,"(0.00, 0.00)",,,,
15:46:52:9376,"(0.00, 0.00)",,,,
15:46:52:9451,"(0.00, 0.00)",,,,
15:46:52:9526,"(0.00, 0.00)",,,,
15:46:52:9609,"(0.00, 0.00)",,,,
15:46:52:9689,"(0.00, 0.00)",,,,
15:46:52:9765,"(0.00, 0.00)",,,,
15:46:52:9845,"(0.00, 0.00)",,,,
15:46:52:9941,"(0.00, 0.00)",,,,
15:46:53:0043,"(0.00, 0.00)",,,,
15:46:53:0113,"(0.00, 0.00)",,,,
15:46:53:0189,"(0.00, 0.00)",,,,
15:46:53:0280,"(0.00, 0.00)",,,,
15:46:53:0357,"(0.00, 0.00)",,,,
15:46:53:0434,"(0.00, 0.00)",,,,
15:46:53:0511,"(0.00, 0.00)",,,,
15:46:53:0609,"(0.00, 0.00)",,,,
15:46:53:0684,"(0.00, 0.00)",,,,
15:46:53:0756,"(0.00, 0.00)",,,,
15:46:53:0843,"(0.00, 0.00)",,,,
15:46:53:0908,"(0.00, 0.00)",,,,
15:46:53:1001,"(0.00, 0.00)",,,,
15:46:53:1072,"(0.00, 0.00)",,,,
15:46:53:1148,"(0.00, 0.00)",,,,
15:46:53:1223,"(0.00, 0.00)",,,,
15:46:53:1301,"(0.00, 0.00)",,,,
15:46:53:1387,"(0.00, 0.00)",,,,
15:46:53:1469,"(0.00, 0.00)",,,,
15:46:53:1558,"(0.00, 0.00)",,,,
15:46:53:1629,"(0.00, 0.00)",,,,
15:46:53:1707,"(0.00, 0.00)",,,,
15:46:53:1793,"(0.00, 0.00)",,,,
15:46:53:1869,"(0.00, 0.00)",,,,
15:46:53:1965,"(0.00, 0.00)",,,,
15:46:53:2051,"(0.00, 0.00)",,,,
15:46:53:2132,"(0.00, 0.00)",,,,
15:46:53:2225,"(0.00, 0.00)",,,,
15:46:53:2302,"(0.00, 0.00)",,,,
15:46:53:2391,"(0.00, 0.00)",,,,
15:46:53:2474,"(0.00, 0.00)",,,,
15:46:53:2565,"(0.00, 0.00)",,,,
15:46:53:2669,"(0.00, 0.00)",,,,
15:46:53:2765,"(0.00, 0.00)",,,,
15:46:53:2863,"(0.00, 0.00)",,,,
15:46:53:2954,"(0.00, 0.00)",,,,
15:46:53:3053,"(0.00, 0.00)",,,,
15:46:53:3227,"(0.00, 0.00)",,,,
15:46:53:3366,"(0.00, 0.00)",,,,
15:46:53:3519,"(0.00, 0.00)",,,,
15:46:53:3658,"(0.00, 0.00)",,,,
15:46:53:3796,"(0.00, 0.00)",,,,
15:46:53:3953,"(0.00, 0.00)",,,,
