timestamp,PointerPosition,SubState,missionName,lastMissionState,missionEvent
14:33:07:5758,"(0.00, 0.00)",,W-58_S-2,,nextMission
14:33:11:4348,"(0.00, 0.00)",,,,
14:33:12:0727,"(0.00, 0.00)",,,,
14:33:12:2418,"(59.75, 284.50)",,,,
14:33:12:2728,"(59.75, 284.50)",,,,
14:33:12:2931,"(59.75, 284.50)",,,,
14:33:12:3033,"(59.75, 284.50)",,,,
14:33:12:3175,"(59.75, 284.50)",,,,
14:33:12:3312,"(59.75, 284.50)",,,,
14:33:12:3433,"(59.75, 284.50)",,,,
14:33:12:3580,"(59.75, 284.50)",,,,
14:33:12:3691,"(59.75, 284.50)",,,,
14:33:12:3812,"(59.75, 284.50)",,,,
14:33:12:3949,"(59.75, 284.50)",,,,
14:33:12:4081,"(59.75, 284.50)",,,,
14:33:12:4187,"(59.75, 284.50)",,,,
14:33:12:4313,"(59.75, 284.50)",,,,
14:33:12:4431,"(59.75, 284.50)",,,,
14:33:12:4736,"(50.75, 279.50)",,,,
14:33:12:4862,"(27.75, 256.50)",,,,
14:33:12:4973,"(20.75, 244.50)",,,,
14:33:12:5091,"(17.75, 239.50)",,,,
14:33:12:5218,"(15.75, 229.50)",,,,
14:33:12:5354,"(15.75, 224.50)",,,,
14:33:12:5490,"(15.75, 214.50)",,,,
14:33:12:5626,"(15.75, 211.50)",,,,
14:33:12:5763,"(15.75, 206.50)",,,,
14:33:12:5851,"(15.75, 201.50)",,,,
14:33:12:5973,"(15.75, 199.50)",,,,
14:33:12:6096,"(15.75, 194.50)",,,,
14:33:12:6171,"(15.75, 194.50)",,,,
14:33:12:6266,"(15.75, 194.50)",,,,
14:33:12:6329,"(15.75, 194.50)",,,,
14:33:12:6430,"(15.75, 194.50)",,,,
14:33:12:6516,"(15.75, 194.50)",,,,
14:33:12:6612,"(15.75, 194.50)",,,,
14:33:12:6728,"(15.75, 194.50)",,,,
14:33:12:6821,"(15.75, 194.50)",,,,
14:33:12:6917,"(15.75, 194.50)",,,,
14:33:12:6983,"(15.75, 194.50)",,,,
14:33:12:7064,"(15.75, 194.50)",,,,
14:33:12:7149,"(15.75, 194.50)",,,,
14:33:12:7246,"(15.75, 194.50)",,,,
14:33:12:7347,"(15.75, 194.50)",,,,
14:33:12:7449,"(15.75, 194.50)",,,,
14:33:12:7561,"(15.75, 194.50)",,,,
14:33:12:7723,"(15.75, 194.50)",,,,
14:33:12:7804,"(15.75, 194.50)",,,,
14:33:12:7900,"(15.75, 194.50)",,,,
14:33:12:7992,"(15.75, 194.50)",,,,
14:33:12:8093,"(15.75, 194.50)",,,,
14:33:12:8255,"(15.75, 194.50)",,,,
14:33:12:8356,"(15.75, 194.50)",,,,
14:33:12:8494,"(15.75, 194.50)",,,,
14:33:12:8637,"(15.75, 194.50)",,,,
14:33:12:8784,"(15.75, 194.50)",,,,
14:33:12:8985,"(15.75, 194.50)",,,,
14:33:12:9117,"(15.75, 194.50)",,,,
14:33:12:9274,"(15.75, 194.50)",,,,
14:33:12:9426,"(15.75, 194.50)",,,,
14:33:12:9559,"(15.75, 194.50)",,,,
14:33:12:9696,"(15.75, 194.50)",,,,
14:33:12:9859,"(15.75, 194.50)",,,,
14:33:13:0021,"(15.75, 194.50)",,,,
14:33:13:0174,"(15.75, 194.50)",,,,
14:33:13:0296,"(15.75, 194.50)",,,,
14:33:13:0434,"(15.75, 194.50)",,,,
14:33:13:0524,"(15.75, 194.50)",,,,
14:33:13:0610,"(15.75, 194.50)",,,,
14:33:13:0697,"(15.75, 194.50)",,,,
14:33:13:0787,"(15.75, 194.50)",,,,
14:33:13:0863,"(15.75, 194.50)",,,,
14:33:13:0949,"(15.75, 194.50)",,,,
14:33:13:1024,"(15.75, 194.50)",,,,
14:33:13:1113,"(15.75, 194.50)",,,,
14:33:13:1204,"(15.75, 194.50)",,,,
14:33:13:1288,"(15.75, 194.50)",,,,
14:33:13:1375,"(15.75, 194.50)",,,,
14:33:13:1471,"(15.75, 194.50)",,,,
14:33:13:1583,"(15.75, 194.50)",,,,
14:33:13:1674,"(15.75, 194.50)",,,,
14:33:13:1770,"(15.75, 194.50)",,,,
14:33:13:1853,"(15.75, 194.50)",,,,
14:33:13:1949,"(15.75, 194.50)",,,,
14:33:13:2048,"(15.75, 194.50)",,,,
14:33:13:2141,"(15.75, 194.50)",,,,
14:33:13:2227,"(15.75, 194.50)",,,,
14:33:13:2313,"(37.75, 201.50)",,,,
14:33:13:2425,"(47.75, 203.50)",,,,
14:33:13:2525,"(74.75, 211.50)",,,,
14:33:13:2617,"(87.75, 213.50)",,,,
14:33:13:2734,"(99.75, 216.50)",,,,
14:33:13:2846,"(119.75, 221.50)",,,,
14:33:13:2964,"(124.75, 223.50)",,,,
14:33:13:3055,"(124.75, 223.50)",,,,
14:33:13:3151,"(124.75, 223.50)",,,,
14:33:13:3247,"(124.75, 223.50)",,,,
14:33:13:3328,"(124.75, 223.50)",,,,
14:33:13:3409,"(124.75, 223.50)",,,,
14:33:13:3490,"(124.75, 223.50)",,,,
14:33:13:3588,"(124.75, 223.50)",,,,
14:33:13:3677,"(124.75, 223.50)",,,,
14:33:13:3774,"(124.75, 223.50)",,,,
14:33:13:3878,"(124.75, 223.50)",,,,
14:33:13:3944,"(124.75, 223.50)",,,,
14:33:13:4048,"(124.75, 223.50)",,,,
14:33:13:4153,"(124.75, 223.50)",,,,
14:33:13:4234,"(124.75, 223.50)",,,,
14:33:13:4326,"(124.75, 223.50)",,,,
14:33:13:4432,"(124.75, 223.50)",,,,
14:33:13:4529,"(124.75, 223.50)",,,,
14:33:13:4656,"(124.75, 223.50)",,,,
14:33:13:4748,"(124.75, 223.50)",,,,
14:33:13:4839,"(124.75, 223.50)",,,,
14:33:13:4950,"(124.75, 223.50)",,,,
14:33:13:5026,"(124.75, 223.50)",,,,
14:33:13:5128,"(124.75, 223.50)",,,,
14:33:13:5219,"(124.75, 223.50)",,,,
14:33:13:5308,"(124.75, 223.50)",,,,
14:33:13:5395,"(124.75, 223.50)",,,,
14:33:13:5474,"(124.75, 223.50)",,,,
14:33:13:5571,"(124.75, 223.50)",,,,
14:33:13:5651,"(124.75, 223.50)",,,,
14:33:13:5742,"(124.75, 223.50)",,,,
14:33:13:5845,"(124.75, 223.50)",,,,
14:33:13:5961,"(124.75, 223.50)",,,,
14:33:13:6077,"(124.75, 223.50)",,,,
14:33:13:6185,"(124.75, 223.50)",,,,
14:33:13:6277,"(124.75, 223.50)",,,,
14:33:13:6387,"(124.75, 223.50)",,,,
14:33:13:6473,"(124.75, 223.50)",,,,
14:33:13:6579,"(124.75, 223.50)",,,,
14:33:13:6660,"(124.75, 223.50)",,,,
14:33:13:6756,"(124.75, 223.50)",,,,
14:33:13:6841,"(124.75, 223.50)",,,,
14:33:13:6937,"(124.75, 223.50)",,,,
14:33:13:7018,"(124.75, 223.50)",,,,
14:33:13:7114,"(124.75, 223.50)",,,,
14:33:13:7211,"(124.75, 223.50)",,,,
14:33:13:7306,"(124.75, 223.50)",,,,
14:33:13:7405,"(124.75, 223.50)",,,,
14:33:13:7486,"(124.75, 223.50)",,,,
14:33:13:7593,"(124.75, 223.50)",,,,
14:33:13:7664,"(124.75, 223.50)",,,,
14:33:13:7762,"(124.75, 223.50)",,,,
14:33:13:7874,"(169.75, 223.50)",,,,
14:33:13:7980,"(197.75, 223.50)",,,,
14:33:13:8092,"(259.75, 226.50)",,,,
14:33:13:8250,"(287.75, 228.50)",,,,
14:33:13:8423,"(334.75, 231.50)",,,,
14:33:13:8580,"(352.75, 233.50)",,,,
14:33:13:8717,"(352.75, 233.50)",,,,
14:33:13:8826,"(352.75, 233.50)",,,,
14:33:13:8966,"(352.75, 233.50)",,,,
14:33:13:9138,"(352.75, 233.50)",,,,
14:33:13:9300,"(352.75, 233.50)",,,,
14:33:13:9473,"(352.75, 233.50)",,,,
14:33:13:9642,"(352.75, 233.50)",,,,
14:33:13:9784,"(352.75, 233.50)",,,,
14:33:13:9951,"(352.75, 233.50)",,,,
14:33:14:0200,"(352.75, 233.50)",,,,
14:33:14:0367,"(352.75, 233.50)",,,,
14:33:14:0519,"(352.75, 233.50)",,,,
14:33:14:0682,"(352.75, 233.50)",,,,
14:33:14:0850,"(352.75, 233.50)",,,,
14:33:14:1014,"(352.75, 233.50)",,,,
14:33:14:1171,"(352.75, 233.50)",,,,
14:33:14:1338,"(352.75, 233.50)",,,,
14:33:14:1449,"(352.75, 233.50)",,,,
14:33:14:1566,"(352.75, 233.50)",,,,
14:33:14:1683,"(352.75, 233.50)",,,,
14:33:14:1783,"(352.75, 233.50)",,,,
14:33:14:1902,"(352.75, 233.50)",,,,
14:33:14:2000,"(352.75, 233.50)",,,,
14:33:14:2107,"(352.75, 233.50)",,,,
14:33:14:2217,"(352.75, 233.50)",,,,
14:33:14:2344,"(352.75, 233.50)",,,,
14:33:14:2450,"(352.75, 233.50)",,,,
14:33:14:2546,"(352.75, 233.50)",,,,
14:33:14:2632,"(352.75, 233.50)",,,,
14:33:14:2778,"(352.75, 216.50)",,,,
14:33:14:2882,"(399.75, 214.50)",,,,
14:33:14:3004,"(434.75, 206.50)",,,,
14:33:14:3134,"(514.75, 186.50)",,,,
14:33:14:3267,"(554.75, 179.50)",,,,
14:33:14:3421,"(642.75, 159.50)",,,,
14:33:14:3567,"(719.75, 136.50)",,,,
14:33:14:3663,"(752.75, 126.50)",,,,
