timestamp,PointerPosition,missionName,lastMissionState,missionEvent
15:43:06:5114,"(0.00, 0.00)",W-13_S-1,,nextMission
15:43:08:9875,"(0.00, 0.00)",,,
15:43:09:1449,"(0.00, 0.00)",,,
15:43:09:1627,"(0.00, 0.00)",,,
15:43:09:1749,"(0.00, 0.00)",,,
15:43:09:2536,"(0.00, 0.00)",,,
15:43:09:2622,"(0.00, 0.00)",,,
15:43:09:2688,"(0.00, 0.00)",,,
15:43:09:2749,"(0.00, 0.00)",,,
15:43:09:2831,"(0.00, 0.00)",,,
15:43:09:2908,"(0.00, 0.00)",,,
15:43:09:2979,"(0.00, 0.00)",,,
15:43:09:3045,"(0.00, 0.00)",,,
15:43:09:3139,"(0.00, 0.00)",,,
15:43:09:3224,"(0.00, 0.00)",,,
15:43:09:3299,"(0.00, 0.00)",,,
15:43:09:3389,"(0.00, 0.00)",,,
15:43:09:3474,"(0.00, 0.00)",,,
15:43:09:3571,"(0.00, 0.00)",,,
15:43:09:3656,"(0.00, 0.00)",,,
15:43:09:3747,"(0.00, 0.00)",,,
15:43:09:3838,"(0.00, 0.00)",,,
15:43:09:3960,"(0.00, 0.00)",,,
15:43:09:4026,"(0.00, 0.00)",,,
15:43:09:4124,"(0.00, 0.00)",,,
15:43:09:4221,"(0.00, 0.00)",,,
15:43:09:4308,"(0.00, 0.00)",,,
15:43:09:4374,"(0.00, 0.00)",,,
15:43:09:4441,"(0.00, 0.00)",,,
15:43:09:4587,"(0.00, 0.00)",,,
15:43:09:4724,"(0.00, 0.00)",,,
15:43:09:4820,"(0.00, 0.00)",,,
15:43:09:4895,"(0.00, 0.00)",,,
15:43:09:5003,"(0.00, 0.00)",,,
15:43:09:5411,"(0.00, 0.00)",,,
15:43:09:5510,"(0.00, 0.00)",,,
15:43:09:5576,"(0.00, 0.00)",,,
15:43:09:5650,"(0.00, 0.00)",,,
15:43:09:5724,"(0.00, 0.00)",,,
15:43:09:5785,"(0.00, 0.00)",,,
15:43:09:5863,"(0.00, 0.00)",,,
15:43:09:5936,"(0.00, 0.00)",,,
15:43:09:6013,"(0.00, 0.00)",,,
15:43:09:6121,"(0.00, 0.00)",,,
15:43:09:6231,"(0.00, 0.00)",,,
15:43:09:6328,"(0.00, 0.00)",,,
15:43:09:6443,"(0.00, 0.00)",,,
15:43:09:6582,"(0.00, 0.00)",,,
15:43:09:6699,"(0.00, 0.00)",,,
15:43:09:6813,"(0.00, 0.00)",,,
15:43:09:6944,"(0.00, 0.00)",,,
15:43:09:7107,"(0.00, 0.00)",,,
15:43:09:7233,"(0.00, 0.00)",,,
15:43:09:7377,"(0.00, 0.00)",,,
15:43:09:7597,"(0.00, 0.00)",,,
15:43:09:7748,"(0.00, 0.00)",,,
15:43:09:7849,"(0.00, 0.00)",,,
15:43:09:7965,"(0.00, 0.00)",,,
15:43:09:8025,"(0.00, 0.00)",,,
15:43:09:8096,"(0.00, 0.00)",,,
15:43:09:8211,"(0.00, 0.00)",,,
15:43:09:8282,"(0.00, 0.00)",,,
15:43:09:8352,"(0.00, 0.00)",,,
15:43:09:8424,"(0.00, 0.00)",,,
15:43:09:8495,"(0.00, 0.00)",,,
15:43:09:8575,"(0.00, 0.00)",,,
15:43:09:8645,"(0.00, 0.00)",,,
15:43:09:8721,"(0.00, 0.00)",,,
15:43:09:8787,"(0.00, 0.00)",,,
15:43:09:8971,"(0.00, 0.00)",,,
15:43:09:9085,"(0.00, 0.00)",,,
15:43:09:9176,"(0.00, 0.00)",,,
15:43:09:9247,"(0.00, 0.00)",,,
15:43:09:9338,"(0.00, 0.00)",,,
15:43:09:9418,"(0.00, 0.00)",,,
15:43:09:9498,"(0.00, 0.00)",,,
15:43:09:9564,"(0.00, 0.00)",,,
15:43:09:9644,"(0.00, 0.00)",,,
15:43:09:9715,"(0.00, 0.00)",,,
15:43:09:9791,"(0.00, 0.00)",,,
15:43:09:9862,"(0.00, 0.00)",,,
15:43:09:9938,"(0.00, 0.00)",,,
15:43:10:0250,"(0.00, 0.00)",,,
