timestamp,SubState,missionName,lastMissionState,missionEvent
11:56:53:7706,GoRight,W-17_S-1,,nextMission
11:56:56:9844,GoStraight,,,
11:56:57:8668,Stop,,,
11:56:58:3362,GoStraight,,,
11:56:58:7576,GoRight,,,
11:56:59:2816,Stop,,,
11:56:59:6959,GoStraight,,,
11:57:00:1075,GoRight,,,
11:57:00:5416,Stop,,,
11:57:01:0830,GoStraight,,,
11:57:01:7785,GoRight,,,
11:57:02:5805,GoStraight,,,
11:57:03:4537,PassToTheLeft,,,
11:57:04:6364,Stop,,,
11:57:05:0347,PassToTheLeft,,,
11:57:05:4783,Stop,,,
11:57:07:3741,,,failed,
11:57:17:9522,GoStraight,,,
11:57:21:0667,Stop,,,
11:57:21:7550,PassToTheLeft,,,
