timestamp,SubState,missionName,lastMissionState,missionEvent
11:03:34:8167,,W-25_S-1,,nextMission
11:03:41:1182,Stop,,,
11:03:42:0855,GoStraight,,,
11:03:43:3783,,W-4_S-1,success,nextMission
11:03:43:9068,,W-27_S-1,success,nextMission
11:03:44:4461,,W-34_S-1,success,nextMission
11:03:44:6397,,W-9_S-1,failed,nextMission
11:03:44:8258,,W-43_S-1,success,nextMission
11:03:45:0038,,W-58_S-1,failed,nextMission
11:03:45:1924,,W-50_S-1,failed,nextMission
11:03:45:3609,,W-21_S-1,failed,nextMission
11:03:45:5542,,W-60_S-1,success,nextMission
11:03:45:7262,,W-34_S-2,failed,nextMission
11:03:45:9158,,W-24_S-1,success,nextMission
11:03:46:1209,,W-2_S-1,success,nextMission
