timestamp,PointerPosition,missionName,lastMissionState,missionEvent
15:42:07:7242,"(0.00, 0.00)",W-9_S-1,,nextMission
15:42:10:8474,"(0.00, 0.00)",,,
15:42:10:9665,"(0.00, 0.00)",,,
15:42:10:9906,"(0.00, 0.00)",,,
15:42:11:0148,"(0.00, 0.00)",,,
15:42:11:0405,"(0.00, 0.00)",,,
15:42:11:0501,"(0.00, 0.00)",,,
15:42:11:0693,"(0.00, 0.00)",,,
15:42:11:0811,"(0.00, 0.00)",,,
15:42:11:0938,"(0.00, 0.00)",,,
15:42:11:1114,"(0.00, 0.00)",,,
15:42:11:1207,"(0.00, 0.00)",,,
15:42:11:1299,"(0.00, 0.00)",,,
15:42:11:1392,"(0.00, 0.00)",,,
15:42:11:1495,"(0.00, 0.00)",,,
15:42:11:1613,"(0.00, 0.00)",,,
15:42:11:1699,"(0.00, 0.00)",,,
15:42:11:1813,"(0.00, 0.00)",,,
15:42:11:1964,"(0.00, 0.00)",,,
15:42:11:2086,"(0.00, 0.00)",,,
15:42:11:2212,"(0.00, 0.00)",,,
15:42:11:2367,"(0.00, 0.00)",,,
15:42:11:2525,"(0.00, 0.00)",,,
15:42:11:2679,"(0.00, 0.00)",,,
15:42:11:2826,"(0.00, 0.00)",,,
15:42:11:2943,"(0.00, 0.00)",,,
15:42:11:3074,"(0.00, 0.00)",,,
15:42:11:3261,"(0.00, 0.00)",,,
15:42:11:3398,"(0.00, 0.00)",,,
15:42:11:3565,"(0.00, 0.00)",,,
15:42:11:3700,"(0.00, 0.00)",,,
15:42:11:3846,"(0.00, 0.00)",,,
15:42:11:3990,"(0.00, 0.00)",,,
15:42:11:4127,"(0.00, 0.00)",,,
15:42:11:4266,"(0.00, 0.00)",,,
15:42:11:4391,"(0.00, 0.00)",,,
15:42:11:4536,"(0.00, 0.00)",,,
15:42:11:4686,"(0.00, 0.00)",,,
15:42:11:4867,"(0.00, 0.00)",,,
15:42:11:5030,"(0.00, 0.00)",,,
15:42:11:5319,"(0.00, 0.00)",,,
15:42:11:5531,"(0.00, 0.00)",,,
15:42:11:5840,"(0.00, 0.00)",,,
15:42:11:6148,"(0.00, 0.00)",,,
15:42:11:6533,"(0.00, 0.00)",,,
15:42:11:6878,"(0.00, 0.00)",,,
15:42:11:7543,"(0.00, 0.00)",,,
15:42:11:7994,"(0.00, 0.00)",,,
15:42:11:8145,"(0.00, 0.00)",,,
15:42:11:8307,"(0.00, 0.00)",,,
15:42:11:8490,"(0.00, 0.00)",,,
15:42:11:8747,"(0.00, 0.00)",,,
15:42:11:8869,"(0.00, 0.00)",,,
15:42:11:8965,"(0.00, 0.00)",,,
15:42:11:9067,"(0.00, 0.00)",,,
15:42:11:9171,"(0.00, 0.00)",,,
15:42:11:9312,"(0.00, 0.00)",,,
15:42:11:9404,"(0.00, 0.00)",,,
15:42:11:9551,"(0.00, 0.00)",,,
15:42:11:9672,"(0.00, 0.00)",,,
15:42:11:9799,"(0.00, 0.00)",,,
15:42:11:9937,"(0.00, 0.00)",,,
15:42:12:0079,"(0.00, 0.00)",,,
15:42:12:0193,"(0.00, 0.00)",,,
15:42:12:0310,"(0.00, 0.00)",,,
15:42:12:0466,"(0.00, 0.00)",,,
15:42:12:0643,"(0.00, 0.00)",,,
15:42:12:0845,"(0.00, 0.00)",,,
15:42:12:1013,"(0.00, 0.00)",,,
15:42:12:1150,"(0.00, 0.00)",,,
15:42:12:1343,"(0.00, 0.00)",,,
15:42:12:1462,"(0.00, 0.00)",,,
15:42:12:1649,"(0.00, 0.00)",,,
15:42:12:1776,"(0.00, 0.00)",,,
15:42:12:1949,"(0.00, 0.00)",,,
15:42:12:2135,"(0.00, 0.00)",,,
15:42:12:2326,"(0.00, 0.00)",,,
15:42:12:2493,"(0.00, 0.00)",,,
15:42:12:2663,"(0.00, 0.00)",,,
15:42:12:2817,"(0.00, 0.00)",,,
15:42:12:3002,"(0.00, 0.00)",,,
15:42:12:3153,"(0.00, 0.00)",,,
15:42:12:3276,"(0.00, 0.00)",,,
15:42:12:3428,"(0.00, 0.00)",,,
15:42:12:3554,"(0.00, 0.00)",,,
15:42:12:3713,"(0.00, 0.00)",,,
15:42:12:3876,"(0.00, 0.00)",,,
15:42:12:4039,"(0.00, 0.00)",,,
15:42:12:4628,"(0.00, 0.00)",,,
15:42:12:5086,"(0.00, 0.00)",,,
15:42:12:5325,"(0.00, 0.00)",,,
15:42:12:5561,"(0.00, 0.00)",,,
15:42:12:5767,"(0.00, 0.00)",,,
15:42:12:7354,"(0.00, 0.00)",,,
15:42:12:7868,"(0.00, 0.00)",,,
