timestamp,PointerPosition,SubState,missionName,lastMissionState,missionEvent
14:36:26:6859,"(0.00, 0.00)",,W-44_S-2,,nextMission
14:36:29:5334,"(0.00, 0.00)",,,,
14:36:29:6487,"(0.00, 0.00)",,,,
14:36:29:6700,"(0.00, 0.00)",,,,
14:36:29:6898,"(0.00, 0.00)",,,,
14:36:29:7046,"(0.00, 0.00)",,,,
14:36:29:7203,"(0.00, 0.00)",,,,
14:36:29:7365,"(0.00, 0.00)",,,,
14:36:29:7482,"(0.00, 0.00)",,,,
14:36:29:7639,"(0.00, 0.00)",,,,
14:36:29:7797,"(0.00, 0.00)",,,,
14:36:29:7930,"(0.00, 0.00)",,,,
14:36:29:8053,"(0.00, 0.00)",,,,
14:36:29:8307,"(0.00, 0.00)",,,,
14:36:29:8393,"(0.00, 0.00)",,,,
14:36:29:8478,"(0.00, 0.00)",,,,
14:36:29:8580,"(0.00, 0.00)",,,,
14:36:29:8661,"(0.00, 0.00)",,,,
14:36:29:8752,"(0.00, 0.00)",,,,
14:36:29:8853,"(0.00, 0.00)",,,,
14:36:29:8941,"(0.00, 0.00)",,,,
14:36:29:9027,"(0.00, 0.00)",,,,
14:36:29:9103,"(0.00, 0.00)",,,,
14:36:29:9199,"(0.00, 0.00)",,,,
14:36:29:9280,"(0.00, 0.00)",,,,
14:36:29:9366,"(0.00, 0.00)",,,,
14:36:29:9464,"(0.00, 0.00)",,,,
14:36:29:9566,"(0.00, 0.00)",,,,
14:36:29:9656,"(0.00, 0.00)",,,,
14:36:29:9739,"(0.00, 0.00)",,,,
14:36:29:9820,"(0.00, 0.00)",,,,
14:36:29:9913,"(0.00, 0.00)",,,,
14:36:29:9999,"(0.00, 0.00)",,,,
14:36:30:0075,"(0.00, 0.00)",,,,
14:36:30:0177,"(0.00, 0.00)",,,,
14:36:30:0253,"(0.00, 0.00)",,,,
14:36:30:0356,"(0.00, 0.00)",,,,
14:36:30:0434,"(0.00, 0.00)",,,,
14:36:30:0525,"(0.00, 0.00)",,,,
14:36:30:0602,"(0.00, 0.00)",,,,
14:36:30:0703,"(0.00, 0.00)",,,,
14:36:30:0783,"(0.00, 0.00)",,,,
14:36:30:0876,"(0.00, 0.00)",,,,
14:36:30:0951,"(0.00, 0.00)",,,,
14:36:30:1032,"(0.00, 0.00)",,,,
14:36:30:1113,"(0.00, 0.00)",,,,
14:36:30:1194,"(0.00, 0.00)",,,,
14:36:30:1270,"(0.00, 0.00)",,,,
14:36:30:1367,"(0.00, 0.00)",,,,
14:36:30:1470,"(0.00, 0.00)",,,,
14:36:30:1582,"(0.00, 0.00)",,,,
14:36:30:1683,"(0.00, 0.00)",,,,
14:36:30:1790,"(0.00, 0.00)",,,,
14:36:30:1887,"(0.00, 0.00)",,,,
14:36:30:1971,"(0.00, 0.00)",,,,
14:36:30:2067,"(0.00, 0.00)",,,,
14:36:30:2161,"(0.00, 0.00)",,,,
14:36:30:2246,"(0.00, 0.00)",,,,
14:36:30:2363,"(0.00, 0.00)",,,,
14:36:30:2450,"(0.00, 0.00)",,,,
14:36:30:2555,"(0.00, 0.00)",,,,
14:36:30:2631,"(0.00, 0.00)",,,,
14:36:30:2722,"(0.00, 0.00)",,,,
14:36:30:2799,"(0.00, 0.00)",,,,
14:36:30:2900,"(0.00, 0.00)",,,,
14:36:30:2996,"(0.00, 0.00)",,,,
14:36:30:3082,"(0.00, 0.00)",,,,
14:36:30:3169,"(0.00, 0.00)",,,,
14:36:30:3247,"(0.00, 0.00)",,,,
14:36:30:3355,"(0.00, 0.00)",,,,
14:36:30:3426,"(0.00, 0.00)",,,,
14:36:30:3522,"(0.00, 0.00)",,,,
14:36:30:3598,"(0.00, 0.00)",,,,
14:36:30:3691,"(0.00, 0.00)",,,,
14:36:30:3774,"(0.00, 0.00)",,,,
14:36:30:3859,"(0.00, 0.00)",,,,
14:36:30:3945,"(0.00, 0.00)",,,,
14:36:30:4037,"(0.00, 0.00)",,,,
14:36:30:4118,"(0.00, 0.00)",,,,
14:36:30:4235,"(0.00, 0.00)",,,,
14:36:30:4311,"(0.00, 0.00)",,,,
14:36:30:4396,"(0.00, 0.00)",,,,
14:36:30:4489,"(0.00, 0.00)",,,,
14:36:30:4580,"(0.00, 0.00)",,,,
14:36:30:4678,"(0.00, 0.00)",,,,
14:36:30:4759,"(0.00, 0.00)",,,,
14:36:30:4838,"(0.00, 0.00)",,,,
14:36:30:4938,"(0.00, 0.00)",,,,
14:36:30:5034,"(0.00, 0.00)",,,,
14:36:30:5125,"(0.00, 0.00)",,,,
14:36:30:5211,"(0.00, 0.00)",,,,
14:36:30:5299,"(0.00, 0.00)",,,,
14:36:30:5400,"(0.00, 0.00)",,,,
14:36:30:5500,"(0.00, 0.00)",,,,
14:36:30:5574,"(0.00, 0.00)",,,,
14:36:30:5681,"(0.00, 0.00)",,,,
14:36:30:5762,"(0.00, 0.00)",,,,
14:36:30:5871,"(0.00, 0.00)",,,,
14:36:30:5942,"(0.00, 0.00)",,,,
14:36:30:6044,"(0.00, 0.00)",,,,
14:36:30:6129,"(0.00, 0.00)",,,,
14:36:30:6220,"(0.00, 0.00)",,,,
14:36:30:6313,"(0.00, 0.00)",,,,
14:36:30:6403,"(0.00, 0.00)",,,,
14:36:30:6513,"(0.00, 0.00)",,,,
14:36:30:6599,"(0.00, 0.00)",,,,
14:36:30:6725,"(0.00, 0.00)",,,,
