timestamp,missionName,lastMissionState,missionEvent
12:07:04:7125,,,
12:07:11:0942,W-23_S-1,,nextMission
12:07:21:1474,,success,
12:07:23:6763,,failed,
12:07:25:5715,,success,
12:07:28:6781,,success,
