timestamp,PointerPosition,SubState,missionName,lastMissionState,missionEvent
14:51:23:1773,"(0.00, 0.00)",,W-58_S-1,,nextMission
14:51:26:4597,"(0.00, 0.00)",,,,
14:51:26:6602,"(0.00, 0.00)",,,,
14:51:26:8909,"(0.00, 0.00)",,,,
14:51:26:9618,"(0.00, 0.00)",,,,
14:51:26:9831,"(0.00, 0.00)",,,,
14:51:26:9909,"(0.00, 0.00)",,,,
14:51:27:0001,"(0.00, 0.00)",,,,
14:51:27:0071,"(0.00, 0.00)",,,,
14:51:27:0157,"(0.00, 0.00)",,,,
14:51:27:0246,"(0.00, 0.00)",,,,
14:51:27:0337,"(0.00, 0.00)",,,,
14:51:27:0433,"(0.00, 0.00)",,,,
14:51:27:0529,"(0.00, 0.00)",,,,
14:51:27:0614,"(0.00, 0.00)",,,,
14:51:27:0710,"(0.00, 0.00)",,,,
14:51:27:0785,"(0.00, 0.00)",,,,
14:51:27:0882,"(0.00, 0.00)",,,,
14:51:27:0958,"(0.00, 0.00)",,,,
14:51:27:1065,"(0.00, 0.00)",,,,
14:51:27:1130,"(0.00, 0.00)",,,,
14:51:27:1232,"(0.00, 0.00)",,,,
14:51:27:1303,"(0.00, 0.00)",,,,
14:51:27:1398,"(0.00, 0.00)",,,,
14:51:27:1474,"(0.00, 0.00)",,,,
14:51:27:1570,"(0.00, 0.00)",,,,
14:51:27:1647,"(0.00, 0.00)",,,,
14:51:27:1745,"(0.00, 0.00)",,,,
14:51:27:1808,"(0.00, 0.00)",,,,
14:51:27:1904,"(0.00, 0.00)",,,,
14:51:27:1980,"(0.00, 0.00)",,,,
14:51:27:2062,"(0.00, 0.00)",,,,
14:51:27:2153,"(0.00, 0.00)",,,,
14:51:27:2230,"(0.00, 0.00)",,,,
14:51:27:2310,"(0.00, 0.00)",,,,
14:51:27:2393,"(0.00, 0.00)",,,,
14:51:27:2485,"(0.00, 0.00)",,,,
14:51:27:2591,"(0.00, 0.00)",,,,
14:51:27:2754,"(0.00, 0.00)",,,,
14:51:27:2866,"(0.00, 0.00)",,,,
14:51:27:2998,"(0.00, 0.00)",,,,
14:51:27:3083,"(0.00, 0.00)",,,,
14:51:27:3183,"(0.00, 0.00)",,,,
14:51:27:3265,"(0.00, 0.00)",,,,
14:51:27:3361,"(0.00, 0.00)",,,,
14:51:27:3467,"(0.00, 0.00)",,,,
14:51:27:3573,"(0.00, 0.00)",,,,
14:51:27:3679,"(0.00, 0.00)",,,,
14:51:27:3770,"(0.00, 0.00)",,,,
14:51:27:3865,"(0.00, 0.00)",,,,
14:51:27:3961,"(0.00, 0.00)",,,,
14:51:27:4067,"(0.00, 0.00)",,,,
14:51:27:4159,"(0.00, 0.00)",,,,
14:51:27:4261,"(0.00, 0.00)",,,,
14:51:27:4372,"(0.00, 0.00)",,,,
14:51:27:4494,"(0.00, 0.00)",,,,
14:51:27:4614,"(0.00, 0.00)",,,,
14:51:27:4750,"(0.00, 0.00)",,,,
14:51:27:4892,"(0.00, 0.00)",,,,
14:51:27:5024,"(0.00, 0.00)",,,,
14:51:27:5138,"(0.00, 0.00)",,,,
14:51:27:5234,"(0.00, 0.00)",,,,
14:51:27:5352,"(0.00, 0.00)",,,,
14:51:27:5432,"(0.00, 0.00)",,,,
14:51:27:5557,"(0.00, 0.00)",,,,
14:51:27:5669,"(0.00, 0.00)",,,,
14:51:27:5773,"(0.00, 0.00)",,,,
14:51:27:5879,"(0.00, 0.00)",,,,
14:51:27:5967,"(0.00, 0.00)",,,,
14:51:27:6072,"(0.00, 0.00)",,,,
14:51:27:6174,"(0.00, 0.00)",,,,
14:51:27:6277,"(0.00, 0.00)",,,,
14:51:27:6413,"(0.00, 0.00)",,,,
14:51:27:6570,"(0.00, 0.00)",,,,
14:51:27:6790,"(0.00, 0.00)",,,,
14:51:27:6972,"(0.00, 0.00)",,,,
14:51:27:7123,"(0.00, 0.00)",,,,
14:51:27:7296,"(0.00, 0.00)",,,,
14:51:27:7444,"(0.00, 0.00)",,,,
14:51:27:7606,"(0.00, 0.00)",,,,
14:51:27:7775,"(0.00, 0.00)",,,,
14:51:27:7922,"(0.00, 0.00)",,,,
14:51:27:8069,"(0.00, 0.00)",,,,
14:51:27:8227,"(0.00, 0.00)",,,,
14:51:27:8360,"(0.00, 0.00)",,,,
14:51:27:8487,"(0.00, 0.00)",,,,
14:51:27:8609,"(0.00, 0.00)",,,,
14:51:27:8756,"(0.00, 0.00)",,,,
14:51:27:8918,"(0.00, 0.00)",,,,
14:51:27:9091,"(0.00, 0.00)",,,,
14:51:27:9243,"(0.00, 0.00)",,,,
14:51:27:9401,"(0.00, 0.00)",,,,
14:51:27:9545,"(0.00, 0.00)",,,,
14:51:27:9697,"(0.00, 0.00)",,,,
14:51:27:9881,"(0.00, 0.00)",,,,
14:51:28:0028,"(0.00, 0.00)",,,,
14:51:28:0136,"(0.00, 0.00)",,,,
14:51:28:0246,"(0.00, 0.00)",,,,
14:51:28:0360,"(0.00, 0.00)",,,,
14:51:28:0483,"(0.00, 0.00)",,,,
14:51:28:0600,"(0.00, 0.00)",,,,
14:51:28:0706,"(0.00, 0.00)",,,,
14:51:28:0843,"(0.00, 0.00)",,,,
14:51:28:0990,"(0.00, 0.00)",,,,
14:51:28:1132,"(0.00, 0.00)",,,,
14:51:28:1285,"(0.00, 0.00)",,,,
14:51:28:1402,"(0.00, 0.00)",,,,
14:51:28:1542,"(0.00, 0.00)",,,,
14:51:28:1671,"(0.00, 0.00)",,,,
14:51:28:1786,"(0.00, 0.00)",,,,
14:51:28:1887,"(0.00, 0.00)",,,,
14:51:28:1970,"(0.00, 0.00)",,,,
14:51:28:2076,"(0.00, 0.00)",,,,
14:51:28:2214,"(0.00, 0.00)",,,,
14:51:28:2347,"(0.00, 0.00)",,,,
14:51:28:2463,"(0.00, 0.00)",,,,
14:51:28:2581,"(0.00, 0.00)",,,,
14:51:28:2717,"(0.00, 0.00)",,,,
14:51:28:2823,"(0.00, 0.00)",,,,
14:51:28:2945,"(0.00, 0.00)",,,,
14:51:28:3093,"(0.00, 0.00)",,,,
14:51:28:3246,"(0.00, 0.00)",,,,
